numero,densidadb,densidadp,replica,tamano,circ,at,numCF,densidadp_porc,at_n,tamanoat2,numCFat2,circat2,densidadp_num
3,0.1,0,3,795,0.822,875006,18,0,0.823937245,655.03011,14.83087042,0.677276416,0
4,0.1,0,3,431,0.907,875006,18,0,0.823937245,355.1169527,14.83087042,0.747311081,0
5,0.1,0,3,959,0.699,875006,18,0,0.823937245,790.1558182,14.83087042,0.575932134,0
6,0.1,0,3,882,0.779,875006,18,0,0.823937245,726.7126503,14.83087042,0.641847114,0
7,0.1,0,3,659,0.873,875006,18,0,0.823937245,542.9746446,14.83087042,0.719297215,0
8,0.1,0,3,515,0.855,875006,18,0,0.823937245,424.3276813,14.83087042,0.704466345,0
9,0.1,0,3,521,0.855,875006,18,0,0.823937245,429.2713048,14.83087042,0.704466345,0
10,0.1,0,3,603,0.858,875006,18,0,0.823937245,496.8341589,14.83087042,0.706938156,0
11,0.1,0,3,429,0.952,875006,18,0,0.823937245,353.4690782,14.83087042,0.784388258,0
12,0.1,0,3,475,0.856,875006,18,0,0.823937245,391.3701915,14.83087042,0.705290282,0
13,0.1,0,3,567,0.862,875006,18,0,0.823937245,467.1724181,14.83087042,0.710233905,0
14,0.1,0,3,682,0.811,875006,18,0,0.823937245,561.9252013,14.83087042,0.668213106,0
15,0.1,0,3,874,0.91,875006,18,0,0.823937245,720.1211524,14.83087042,0.749782893,0
16,0.1,0,3,795,0.894,875006,18,0,0.823937245,655.03011,14.83087042,0.736599897,0
17,0.1,0,3,759,0.777,875006,18,0,0.823937245,625.3683692,14.83087042,0.64019924,0
18,0.1,0,3,286,0.937,875006,18,0,0.823937245,235.6460522,14.83087042,0.772029199,0
1,0.3,0,1,375,0.884,757324,75,0,0.713123625,267.4213593,53.48427185,0.630401284,0
2,0.3,0,1,266,0.949,757324,75,0,0.713123625,189.6908842,53.48427185,0.67675432,0
3,0.3,0,1,178,0.959,757324,75,0,0.713123625,126.9360052,53.48427185,0.683885556,0
4,0.3,0,1,430,0.905,757324,75,0,0.713123625,306.6431586,53.48427185,0.64537688,0
5,0.3,0,1,406,0.927,757324,75,0,0.713123625,289.5281916,53.48427185,0.6610656,0
6,0.3,0,1,126,0.886,757324,75,0,0.713123625,89.85357671,53.48427185,0.631827531,0
7,0.3,0,1,340,0.913,757324,75,0,0.713123625,242.4620324,53.48427185,0.651081869,0
